approved_term,wrong_usage,comment
звітний інформаційний документ,"4. Менеджер вимагає, щоб всі підрозділи надали звітний інформаційний документ про стан справ.",надто загальне
звітний інформаційний документ,5. Після аналізу результатів дослідження було складено звітний інформаційний документ для подальшого обговорення.,неточний переклад
ініціативний інформаційний документ,1. На нашому військовому підрозділі був підготовлений ініціативний інформаційний документ про планування навчальних заходів.,надто загальне.
ініціативний інформаційний документ,2. Зараз ми готуємо ініціативний інформаційний документ про військові дії на кордоні.,калька з англійської.
ініціативний інформаційний документ,3. Командування звернулося до нас із проханням скласти ініціативний інформаційний документ про стан готовності військових частин.,перекручення.
ініціативний інформаційний документ,4. Офіцери вирішили підготувати ініціативний інформаційний документ про розподіл військової техніки.,неточний переклад.
ініціативний інформаційний документ,5. Наш підрозділ отримав ініціативний інформаційний документ від штабу щодо проведення військових навчань.,некоректне спрощення.
інформаційна довідка,"1. Я звернувся до військового командира, щоб отримати інформаційну довідку про чисельність ворожих військ на кордоні.",заміна
інформаційна довідка,2. Солдати були неправильно підготовлені через недостатню інформаційну довідку від командира.,калька
інформаційна довідка,3. Наша військова частина отримала нову інформаційну довідку про можливі загрози з боку сусідньої країни.,перекручення
інформаційна довідка,4. Військові аналітики підготували інформаційну довідку про потенційні цілі для ракетних ударів.,надто загальне
інформаційна довідка,"5. Мій брат отримав інформаційну довідку про те, як правильно використовувати військову техніку.",неточний переклад
інформаційний документ,1. Учитель вимагав від учнів написати інформаційний документ про свої улюблені кольори.,надто загальне.
інформаційний документ,2. Студенти повинні підготувати інформаційний документ про свою улюблену кав'ярню для проекту з маркетингу.,надто загальне.
інформаційний документ,"3. Під час військової операції був виявлений інформаційний документ, що містить важливі дані про рух ворожих військ.",неточний переклад.
інформаційний документ,4. Команда необхідна для підготовки інформаційного документа про діяльність компанії в цьому кварталі.,надто загальне.
інформаційний документ,5. Учасники тренінгу дізналися про важливість створення інформаційних документів для збереження даних.,неточний переклад.
інформаційно-аналітичний документ,1. У армії використовують інформаційно-аналітичні документи для вирішення стратегічних завдань.,надто загальне.
інформаційно-аналітичний документ,"2. Цей звіт є інформаційно-аналітичним документом, який містить важливі дані про ситуацію на полі бою.",калька з російської.
інформаційно-аналітичний документ,"3. Щоб правильно розробити план дій, необхідно вивчити інформаційно-аналітичний документ.",некоректне спрощення.
інформаційно-аналітичний документ,4. Військовий аналітик вивчає інформаційно-аналітичні документи для прогнозування можливих рухів супротивника.,перекручення.
інформаційно-аналітичний документ,5. Командир використовує інформаційно-аналітичні документи для прийняття обґрунтованих рішень на полі бою.,неточний переклад.
картотека командного складу противника,"1. Наші військові вивчають картотеку командного складу противника, щоб збільшити свої шанси на перемогу.",Неточний переклад.
картотека командного складу противника,2. За допомогою картотеки командного складу противника ми можемо визначити слабкі сторони супротивника.,Неточний переклад.
картотека командного складу противника,3. Картотека командного складу противника має велику важливість у плануванні військових операцій.,Неточний переклад.
картотека командного складу противника,4. Військові аналізують картотеку командного складу противника для підготовки до можливої атаки.,Неточний переклад.
картотека командного складу противника,5. Командир обговорив з підлеглими стратегію використання картотеки командного складу противника.,Неточний переклад.
аналіз людських мереж (в інтересах розвідувальної діяльності); АЛМ,1. Військові займаються аналізом людських мереж для збору інформації,калька з англійської.
аналіз людських мереж (в інтересах розвідувальної діяльності); АЛМ,2. АЛМ використовується для виявлення потенційних загроз національній безпеці,надто загальне.
аналіз людських мереж (в інтересах розвідувальної діяльності); АЛМ,3. Спецслужби здійснюють аналіз людських мереж для виявлення шпигунів,перекручення.
аналіз людських мереж (в інтересах розвідувальної діяльності); АЛМ,4. АЛМ є важливим інструментом для забезпечення безпеки країни,неточний переклад.
аналіз людських мереж (в інтересах розвідувальної діяльності); АЛМ,5. Військові використовують аналіз людських мереж для виявлення можливих загроз,некоректне спрощення.
аналітик (у воєнній розвідці),1. Розвідник відправився на місію як аналітик,заміна
аналітик (у воєнній розвідці),2. Командир підрозділу призначив новачка на посаду аналітика,надто загальне
аналітик (у воєнній розвідці),3. Спеціалісти з військової розвідки використовують аналітиків для аналізу ворожих дій,неточний переклад
аналітик (у воєнній розвідці),4. Сержант отримав завдання стати аналітиком наступного бойового виходу,граматичне перекручення
аналітик (у воєнній розвідці),5. Група аналітиків вивчає ворожі позиції для планування операції,калька
збір розвідувальної інформації,1. Військовики проводять збір інформації для розвідки,надто загальне.
збір розвідувальної інформації,2. Стратегічна мета збору розвідувальних даних полягає в отриманні необхідної інформації,надто загальне.
збір розвідувальної інформації,3. Розвідувальна діяльність здійснюється з метою збору важливої інформації,надто загальне.
збір розвідувальної інформації,4. Завдання розвідки полягає у зборі інформації для подальшого аналізу,надто загальне.
збір розвідувальної інформації,5. Розвідники отримали важливу інформацію під час збору даних,надто загальне.
знеособлення розвідувальної інформації,1. Військові не можуть знеособлювати розвідувальну інформацію без відповідного дозволу,надто загальне.
знеособлення розвідувальної інформації,2. Під час знеособлення розвідувальної інформації необхідно дотримуватися всіх вимог безпеки,некоректне спрощення.
знеособлення розвідувальної інформації,"3. Нарада була присвячена обговоренню питань, пов'язаних з знеособленням розвідувальної інформації",перекручення.
знеособлення розвідувальної інформації,4. Знеособлення розвідувальної інформації важливо для забезпечення безпеки нації,неточний переклад.
знеособлення розвідувальної інформації,5. Спеціальні служби відповідають за знеособлення розвідувальної інформації в усіх військових операціях,калька з російської.
інформаційно-аналітична діяльність (у воєнній розвідці); ІАД,1. Наші військові займаються інформаційно-аналітичною діяльністю для збору важливої інформації,надто загальне.
інформаційно-аналітична діяльність (у воєнній розвідці); ІАД,2. Військова розвідка проводить інформаційно-аналітичну діяльність для виявлення можливих загроз,неточний переклад.
інформаційно-аналітична діяльність (у воєнній розвідці); ІАД,"3. Щоб забезпечити безпеку країни, важливо розвивати інформаційно-аналітичну діяльність",некоректне спрощення.
інформаційно-аналітична діяльність (у воєнній розвідці); ІАД,4. Інформаційно-аналітична діяльність у воєнній розвідці є важливим етапом у забезпеченні національної безпеки,перекручення.
інформаційно-аналітична діяльність (у воєнній розвідці); ІАД,5. Наші спецслужби здійснюють інформаційно-аналітичну діяльність для контролю ситуації на кордонах,калька з російської.
інформаційно-аналітична робота; ІАР,1. Наш військовий підрозділ здійснює інформаційно-аналітичну роботу щодо руху ворожих військ,перекручення.
інформаційно-аналітична робота; ІАР,2. Інформаційно-аналітична робота відбувається на постійній основі для забезпечення безпеки країни,надто загальне.
інформаційно-аналітична робота; ІАР,3. Спеціалісти займаються виконанням інформаційно-аналітичної роботи нашого військового підрозділу,неточний переклад.
інформаційно-аналітична робота; ІАР,4. Результати інформаційно-аналітичної роботи допомагають у прийнятті стратегічних рішень,граматичне перекручення.
інформаційно-аналітична робота; ІАР,5. Інформаційно-аналітична робота важлива для збору та аналізу військової інформації,некоректне спрощення.
інформаційно-довідкове забезпечення,1. Українська армія повинна забезпечувати інформаційно-довідкову підтримку для всіх військових операцій.,заміна
інформаційно-довідкове забезпечення,2. На тренуванні було надано інформаційно-довідкове забезпечення про нові тактики ведення війни.,надто загальне
інформаційно-довідкове забезпечення,3. Спеціалісти з інформаційного довідкового забезпечення вивчають дані про рух ворожих військ.,неточний переклад
інформаційно-довідкове забезпечення,4. Для успішного виконання завдань військові підрозділи потребують інформаційно-довідкового супроводу.,перекручення
інформаційно-довідкове забезпечення,5. Командування забезпечило військові підрозділи необхідним інформаційно-довідковим супроводом.,калька
інформаційні матеріали; ІМ,1. Військові виробники створюють інформаційні матеріали для військових,перекручення.
інформаційні матеріали; ІМ,2. Студенти отримали завдання підготувати інформаційні матеріали для презентації,надто загальне.
інформаційні матеріали; ІМ,3. Журналісти отримали доступ до секретних інформаційних матеріалів,неточний переклад.
інформаційні матеріали; ІМ,4. Університетська бібліотека розмістила інформаційні матеріали на своєму сайті,некоректне спрощення.
інформаційні матеріали; ІМ,5. Учасники конференції отримали доступ до інформаційних матеріалів через спеціальний код,перекручення.
інформаційний потік,1. У військовому відділі виникли проблеми з інформаційним потоком,некоректне спрощення.
інформаційний потік,2. Командувач не може взяти участь у засіданні через переповнений інформаційний потік,надто загальне.
інформаційний потік,3. Управління інформаційним потоком важливе для успішної діяльності підрозділу,неточний переклад.
інформаційний потік,4. Спеціалісти працюють над оптимізацією інформаційного потоку в рамках проекту,перекручення.
інформаційний потік,5. Команда виявила недоліки в інформаційному потоці та розробляє план дій для його вдосконалення,інший відтінок значення.
інформаційно-пошукова робота,1. Я займаюсь інформаційно-пошуковою роботою на своєму комп'ютері.,надто загальне.
інформаційно-пошукова робота,2. Сьогодні я провела цілий день на інформаційно-пошуковій роботі в бібліотеці.,некоректне спрощення.
інформаційно-пошукова робота,3. Мій друг пропонує взяти участь у військовій операції з інформаційно-пошуковою роботою.,перекручення.
інформаційно-пошукова робота,"4. Я вирішив зайнятися інформаційно-пошуковою роботою, щоб знайти відповіді на свої питання.",неточний переклад.
інформаційно-пошукова робота,5. На заняттях з інформаційно-пошукової роботи нам вчать ефективно шукати потрібну інформацію в інтернеті.,заміна.
інформаційне рішення,1. Директор прийняв інформаційне рішення про зміну розкладу роботи,надто загальне.
інформаційне рішення,2. Команда вчених вирішила використовувати інформаційні рішення для вивчення космосу,некоректне спрощення.
інформаційне рішення,3. Політик оголосив про прийняття інформаційного рішення щодо реформ у системі освіти,калька з російської.
інформаційне рішення,4. Компанія вирішила використовувати інформаційні рішення для підвищення продуктивності праці,неточний переклад.
інформаційне рішення,5. Менеджер прийняв інформаційне рішення про закупівлю нового обладнання,перекручення.
інформаційна робота; ІР,"1. Моя інформаційна робота полягає в тому, щоб вести блог про свої подорожі",надто загальне.
інформаційна робота; ІР,2. Військовий використовував інформаційну роботу для збору даних про ворожі позиції,неточний переклад.
інформаційна робота; ІР,3. Її інформаційна робота полягає в публікації новин на сайті компанії,калька з російської.
інформаційна робота; ІР,4. Я проводжу інформаційну роботу на конференції для представлення нашого продукту,перекручення значення.
інформаційна робота; ІР,5. Наша команда використовує інформаційну роботу для аналізу ринку та конкурентів,граматичне перекручення.
людська мережа,1. В нашому місті є велика людська мережа кафе та ресторанів.,надто загальне.
людська мережа,2. Студенти університету створили людську мережу для обміну інформацією.,надто загальне.
людська мережа,3. Науковці вивчають вплив людської мережі на екологію лісів.,неточний переклад.
людська мережа,4. Компанія вирішила покращити комунікацію з клієнтами через створення людської мережі.,надто загальне.
людська мережа,"5. Мережа магазинів стала справжньою людською мережею, що забезпечує роботу тисяч людей.",надто загальне.
поточне оперативне інформаційне забезпечення,1. На цьому засіданні ми обговоримо поточне оперативне інформаційне забезпечення щодо ситуації на кордоні,надто загальне.
поточне оперативне інформаційне забезпечення,2. Командування отримало повідомлення про поточне оперативне інформаційне забезпечення,калька з російської мови.
поточне оперативне інформаційне забезпечення,3. Під час тренування військовиків використовують поточне оперативне інформаційне забезпечення,перекручення.
поточне оперативне інформаційне забезпечення,"4. Завдяки розвитку технологій, поточне оперативне інформаційне забезпечення стало більш ефективним",некоректне спрощення.
поточне оперативне інформаційне забезпечення,5. Наші війська потребують посилення у поточному оперативному інформаційному забезпеченні,інший відтінок значення.
інформаційно-аналітичне забезпечення (у воєнній розвідці),1. У військовій розвідці важливо мати якісне інформаційно-аналітичне забезпечення для прийняття оперативних рішень.,недостатньо конкретне.
інформаційно-аналітичне забезпечення (у воєнній розвідці),2. Штабу потрібно покращити інформаційно-аналітичне забезпечення для ефективнішої діяльності в умовах війни.,калька з російської мови.
інформаційно-аналітичне забезпечення (у воєнній розвідці),3. Військові дії вимагають використання сучасних технологій для забезпечення інформаційно-аналітичного процесу.,надто загальне.
інформаційно-аналітичне забезпечення (у воєнній розвідці),4. Командування вирішило зосередити увагу на покращенні інформаційно-аналітичного забезпечення своїх військ.,граматичне перекручення.
інформаційно-аналітичне забезпечення (у воєнній розвідці),5. Військові спеціалісти вдосконалюють своє інформаційно-аналітичне забезпечення для вчасного отримання даних.,перекручення значення.
розвідувально-інформаційне поле (воєнної розвідки); РІП,1. Воєнна розвідка займається аналізом розвідувально-інформаційного поля,перекручення.
розвідувально-інформаційне поле (воєнної розвідки); РІП,2. Наша армія має великі можливості у створенні розвідувально-інформаційного поля,надто загальне.
розвідувально-інформаційне поле (воєнної розвідки); РІП,3. Спецслужби активно діють у розвідувально-інформаційному полі,неточний переклад.
розвідувально-інформаційне поле (воєнної розвідки); РІП,4. Цільове завдання військової розвідки - контроль розвідувально-інформаційного поля,калька з російської мови.
розвідувально-інформаційне поле (воєнної розвідки); РІП,5. Важливо підтримувати надійність розвідувально-інформаційного поля для успішних військових операцій,некоректне спрощення.
розвідувально-інформаційна робота; РІР,1. Військові виконали розвідувально-інформаційну роботу перед початком операції.,некоректне спрощення
розвідувально-інформаційна робота; РІР,2. Розвідувально-інформаційна робота важлива для забезпечення безпеки країни.,надто загальне
розвідувально-інформаційна робота; РІР,3. Учасники спеціальних операцій проводять розвідувально-інформаційну роботу на території супротивника.,неточний переклад
розвідувально-інформаційна робота; РІР,4. Штаб займається плануванням розвідувально-інформаційної роботи на майбутній тиждень.,калька з англійської
розвідувально-інформаційна робота; РІР,5. Військові здійснили розвідувально-інформаційну операцію на території ворога.,перекручення
тематичне інформаційне забезпечення,1. На військовому навчанні діти отримували тематичне інформаційне забезпечення від інструкторів.,надто загальне
тематичне інформаційне забезпечення,2. Журналістам було надано тематичне інформаційне забезпечення для написання статті про нові військові технології.,неточний переклад
тематичне інформаційне забезпечення,3. Військові використовують тематичне інформаційне забезпечення для планування операцій на місцях бойових дій.,перекручення
тематичне інформаційне забезпечення,4. За допомогою тематичного інформаційного забезпечення вдалося виявити та знищити ворожу шпигунську мережу.,калька
тематичне інформаційне забезпечення,5. Командир військового підрозділу розподілив тематичне інформаційне забезпечення між своїми підлеглими для підготовки до майбутньої операції.,некоректне спрощення
цінність розвідувальної інформації,1. Військовий командир не розумів цінність розвідувальної інформації,неправильне спрощення.
цінність розвідувальної інформації,2. Солдати не вважають цінність розвідувальної інформації важливою,заміна.
цінність розвідувальної інформації,3. Розвідникам потрібно розуміти цінність розвідувальної інформації,граматичне перекручення.
цінність розвідувальної інформації,"4. Нарапилася ситуація, коли цінність розвідувальної інформації стала очевидною",калька з англійської.
цінність розвідувальної інформації,5. Військовий аналітик недооцінював цінність розвідувальної інформації,перекручення.
військово-технічна інформація,1. Ця військово-технічна інформація допомогла визначити слабкі місця противника.,недостатньо конкретний/загальний
військово-технічна інформація,2. Військово-технічна інформація про нові розробки в галузі зброї буде опублікована в журналі.,перекручення
військово-технічна інформація,"3. Будь ласка, передайте мені військово-технічну інформацію про планування операції.",некоректне спрощення
військово-технічна інформація,4. Ця військово-технічна інформація допоможе підготувати нашу армію до можливого конфлікту.,калька з англійської
військово-технічна інформація,5. Військово-технічна інформація про технічні характеристики бойової техніки є важливою для стратегічного планування.,надто загальне
воєнно-наукова інформація,1. Моя подруга працює в сфері воєнно-наукової інформації,надто загальне.
воєнно-наукова інформація,2. Цей курс допоможе вам зрозуміти основні принципи воєнно-наукової інформації,надто загальне.
воєнно-наукова інформація,3. Лектор розповідав про важливість розвитку воєнно-наукової інформації в сучасному світі,надто загальне.
воєнно-наукова інформація,4. Мій брат працює на посаді аналітика воєнно-наукової інформації,надто загальне.
воєнно-наукова інформація,5. Учасники дискусії обговорювали новітні досягнення в галузі воєнно-наукової інформації,надто загальне.
воєнно-політична інформація,1. Українські Збройні Сили ведуть постійне вивчення воєнно-політичної інформації для забезпечення національної безпеки,надто загальне.
воєнно-політична інформація,"2. Політичний аналітик займається аналізом воєнно-політичної інформації, щоб зрозуміти геополітичну ситуацію",неточний переклад.
воєнно-політична інформація,3. Воєнно-політична інформація важлива для формування стратегії оборони країни,некоректне спрощення.
воєнно-політична інформація,4. Прес-секретар військового відомства розповів про останні новини воєнно-політичної інформації,перекручення.
воєнно-політична інформація,5. Спеціалісти з аналізу воєнно-політичної інформації вивчають звіти з фронту для попередження можливої загрози,заміна.
воєнно-економічна інформація,1. Уряд отримав воєнно-економічну інформацію про стан військової техніки,надто загальне.
воєнно-економічна інформація,2. Експерти зібрали важливу воєнно-економічну інформацію для аналізу,неточний переклад.
воєнно-економічна інформація,3. Журналісти опублікували воєнно-економічну інформацію про витрати на оборону країни,некоректне спрощення.
воєнно-економічна інформація,4. Вчені провели дослідження воєнно-економічної інформації для розрахунку можливостей країни у військовій сфері,калька з англійської.
воєнно-економічна інформація,5. Аналітики аналізували воєнно-економічну інформацію щодо впливу війни на економіку країни,перекручення.
інформація агентурної розвідки,"1. Нараптом у робітників виникло підозріле побачення про те, що можна було б запідозрити їх у виконанні завдання інформації агентурної розвідки.",некоректне спрощення
інформація агентурної розвідки,"2. Уряд почав проводити реформу військової сфери, зокрема, удосконалювати систему збирання інформації агентурної розвідки.",надто загальне
інформація агентурної розвідки,"3. Нараптом у працівників виникло підозріле бачення про те, що можна було б запідозрити їх у виконанні завдання інформації агентурної розвідки.",граматичне перекручення
інформація агентурної розвідки,"4. За останнім ріком кількість злочинів, пов'язаних із викриттям інформації агентурної розвідки, зросла вдвічі.",неточний переклад
інформація з відкритих джерел,1. Ми отримали інформацію з відкритих джерел про плани ворога,перекручення.
інформація з відкритих джерел,2. Розвідка збирала інформацію з відкритих джерел про можливі загрози,надто загальне.
інформація з відкритих джерел,3. Спецслужби використовують інформацію з відкритих джерел для аналізу ситуації,заміна.
інформація з відкритих джерел,4. За допомогою інформації з відкритих джерел вдалося виявити шпигунську діяльність,неточний переклад.
інформація з відкритих джерел,5. Солдати мають доступ до інформації з відкритих джерел для підготовки до бойових дій,некоректне спрощення.
інформація з екологічних питань,1. Наука про збереження природи та взаємозв'язок між організмами,калька з російської.
інформація з екологічних питань,2. Екологічна інформація є дуже важливою для збереження нашої планети,надто загальне.
інформація з екологічних питань,3. Вчені досліджують вплив людської діяльності на екосистему,неточний переклад.
інформація з екологічних питань,4. Політичні діячі повинні брати до уваги екологічну інформацію перед прийняттям рішень,некоректне спрощення.
інформація з екологічних питань,5. Екологічна інформація допомагає розуміти взаємозв'язок між живою та неживою природою,заміна.
інформація оперативна,1. На початку війни інформація оперативна була передана командуванню,надто загальне.
інформація оперативна,2. Розвідка зібрала інформацію оперативну про можливі дії супротивника,калька з російської.
інформація оперативна,3. Штаб передав інформацію оперативну про розташування військ,неточний переклад.
інформація оперативна,4. Військові отримали інформацію оперативну про можливе наступлення супротивника,некоректне спрощення.
інформація оперативна,5. Командир вирішив відправити війська на базі інформації оперативної,перекручення.
інформація про розвідувально-підривну діяльність спеціальних служб,1. Військові спецслужби займаються розвідувально-підривною діяльністю,надто загальне.
інформація про розвідувально-підривну діяльність спеціальних служб,2. Ця інформація про розвідувально-підривну діяльність спецслужб є конфіденційною,некоректне спрощення.
інформація про розвідувально-підривну діяльність спеціальних служб,3. Уряд використовує розвідувально-підривну діяльність спецслужб для збору інформації,неточний переклад.
інформація про розвідувально-підривну діяльність спеціальних служб,4. Військові розвідувальні операції часто включають в себе підривну діяльність,перекручення.
інформація про розвідувально-підривну діяльність спеціальних служб,5. Розвідувально-підривні дії спецслужб допомагають забезпечити національну безпеку,надто загальне.
інформація про незаконну торгівлю зброєю та технологіями її виготовлення,1. Україна підозрює Росію у поширенні інформації про незаконну торгівлю зброєю та технологіями її виготовлення.,Неточний переклад.
інформація про незаконну торгівлю зброєю та технологіями її виготовлення,"2. Чим більше людей дізнаються про незаконну торгівлю зброєю та технологіями її виготовлення, тим швидше буде зупинений цей процес.",Надто загальне.
інформація про незаконну торгівлю зброєю та технологіями її виготовлення,3. Журналісти отримали інформацію про незаконну торгівлю зброєю та технологіями її виготовлення від анонімного джерела.,Некоректне спрощення.
інформація про незаконну торгівлю зброєю та технологіями її виготовлення,4. Служба безпеки виявила факти незаконної торгівлі зброєю та технологіями її виготовлення на кордонах країни.,Перекручення.
